ra,dec,dist_au,zone
251.747109,-21.000591,9.039758,D
251.751946,-21.001085,9.039695,D
251.751788,-20.998997,9.040351,D
251.748447,-20.998757,9.040363,D
251.749057,-20.998644,9.040410,D
251.753049,-20.999649,9.040170,D
251.752912,-20.999427,9.040237,D
251.753294,-21.000002,9.040063,D
251.752629,-21.000823,9.039791,D
251.747146,-20.999183,9.040203,D
251.751428,-21.001269,9.039627,D
251.753283,-21.000185,9.040005,D
251.753048,-21.000269,9.039974,D
251.753088,-21.000467,9.039912,D
251.749969,-21.001351,9.039573,D
251.749624,-21.001334,9.039571,D
251.750338,-21.001379,9.039571,D
251.749114,-21.001189,9.039607,D
251.751540,-20.998860,9.040390,D
251.752518,-20.999255,9.040284,D
251.748086,-21.001070,9.039625,D
251.751788,-21.001203,9.039654,D
251.752542,-20.999194,9.040304,D
251.752123,-20.999110,9.040322,D
251.753361,-21.000310,9.039967,D
251.748236,-21.000951,9.039666,D
251.750271,-20.998614,9.040443,D
251.746855,-21.000168,9.039886,D
251.746725,-20.999876,9.039976,D
251.752094,-20.999050,9.040341,D
251.748169,-20.998861,9.040325,D
251.748364,-20.998716,9.040374,D
251.750939,-21.001383,9.039581,D
251.751730,-21.001295,9.039624,D
251.746922,-20.999276,9.040170,D
251.751240,-20.998791,9.040406,D
251.747000,-21.000459,9.039797,D
251.752342,-21.001039,9.039717,D
251.752483,-21.001046,9.039717,D
251.752796,-20.999413,9.040239,D
251.750968,-20.998732,9.040419,D
251.751676,-20.998890,9.040383,D
251.746893,-21.000079,9.039915,D
251.746987,-20.999429,9.040123,D
251.747923,-21.000938,9.039664,D
251.750904,-21.001380,9.039581,D
251.748090,-21.001063,9.039627,D
251.747751,-20.998857,9.040318,D
251.751879,-20.999075,9.040328,D
251.746837,-20.999502,9.040096,D
251.747048,-21.000365,9.039828,D
251.746683,-20.999952,9.039951,D
251.748151,-20.998809,9.040341,D
251.749122,-21.001220,9.039598,D
251.749559,-21.001272,9.039589,D
251.752449,-21.000972,9.039740,D
251.753099,-21.000234,9.039986,D
251.752690,-20.999499,9.040210,D
251.753055,-20.999781,9.040128,D
251.749625,-20.998641,9.040422,D
251.747025,-21.000510,9.039782,D
251.750984,-21.001285,9.039613,D
251.753274,-21.000354,9.039951,D
251.751490,-20.998839,9.040395,D
251.748026,-20.998830,9.040332,D
251.748148,-21.001037,9.039637,D
251.750695,-20.998680,9.040430,D
251.746848,-21.000347,9.039830,D
251.748448,-20.998694,9.040383,D
251.750657,-21.001338,9.039590,D
251.753345,-21.000194,9.040003,D
251.749369,-20.998634,9.040420,D
251.752294,-20.999125,9.040321,D
251.750966,-20.998734,9.040419,D
251.752164,-21.001180,9.039669,D
251.751910,-20.998969,9.040363,D
251.750705,-20.998690,9.040428,D
251.753342,-21.000052,9.040048,D
251.747459,-21.000765,9.039709,D
251.748918,-21.001231,9.039590,D
251.751111,-21.001357,9.039593,D
251.748921,-20.998644,9.040408,D
251.747296,-21.000538,9.039778,D
251.752439,-20.999301,9.040268,D
251.751966,-20.998958,9.040367,D
251.747666,-21.000903,9.039670,D
251.747345,-20.999086,9.040238,D
251.751777,-21.001218,9.039649,D
251.753213,-21.000449,9.039920,D
251.753267,-20.999902,9.040094,D
251.752340,-20.999108,9.040327,D
251.752902,-20.999537,9.040202,D
251.752217,-21.001046,9.039712,D
251.747032,-21.000482,9.039791,D
251.747604,-21.000755,9.039715,D
251.753077,-21.000625,9.039862,D
251.751161,-20.998735,9.040422,D
251.748890,-20.998705,9.040388,D
251.750927,-21.001316,9.039602,D
251.751982,-21.001174,9.039667,D
251.752581,-20.999345,9.040257,D
251.749679,-20.998607,9.040434,D
251.752797,-20.999419,9.040237,D
251.747062,-20.999212,9.040193,D
251.747178,-20.999132,9.040220,D
251.753151,-20.999702,9.040155,D
251.752996,-20.999523,9.040208,D
251.746972,-21.000369,9.039825,D
251.747516,-21.000765,9.039710,D
251.746749,-20.999913,9.039965,D
251.746895,-20.999806,9.040002,D
251.747974,-20.998782,9.040346,D
251.751808,-21.001142,9.039674,D
251.747407,-21.000741,9.039716,D
251.750754,-21.001360,9.039585,D
251.750678,-21.001350,9.039587,D
251.747111,-20.999164,9.040208,D
251.752349,-21.001097,9.039699,D
251.752350,-20.999195,9.040299,D
251.752066,-21.001142,9.039679,D
251.753348,-21.000210,9.039998,D
251.752401,-20.999314,9.040263,D
251.749705,-20.998654,9.040420,D
251.753326,-21.000066,9.040043,D
251.747664,-21.000724,9.039726,D
251.752923,-20.999527,9.040206,D
251.746759,-20.999854,9.039984,D
251.752691,-20.999342,9.040260,D
251.749393,-20.998659,9.040412,D
251.747498,-21.000808,9.039697,D
251.752434,-21.001091,9.039702,D
251.753258,-21.000370,9.039946,D
251.747094,-20.999139,9.040216,D
251.749567,-20.998627,9.040426,D
251.753034,-20.999792,9.040124,D
251.746816,-21.000259,9.039857,D
251.752338,-20.999124,9.040322,D
251.748031,-20.998798,9.040342,D
251.751793,-21.001190,9.039659,D
251.748422,-21.001107,9.039620,D
251.752493,-21.001013,9.039728,D
251.751864,-20.998990,9.040355,D
251.748618,-20.998662,9.040396,D
251.746869,-21.000103,9.039907,D
251.746883,-21.000161,9.039889,D
251.747193,-21.000610,9.039753,D
251.746842,-21.000107,9.039905,D
251.750910,-20.998755,9.040411,D
251.748347,-20.998722,9.040372,D
251.746727,-20.999993,9.039939,D
251.747029,-21.000354,9.039831,D
251.747000,-21.000348,9.039832,D
251.749388,-21.001345,9.039563,D
251.752342,-21.000946,9.039746,D
251.749742,-21.001306,9.039583,D
251.752732,-20.999427,9.040234,D
251.747184,-21.000450,9.039804,D
251.750667,-21.001411,9.039567,D
251.746786,-20.999863,9.039981,D
251.749205,-21.001261,9.039586,D
251.751494,-21.001320,9.039612,D
251.751241,-20.998817,9.040398,D
251.747263,-20.999140,9.040219,D
251.747932,-20.998800,9.040339,D
251.746849,-21.000076,9.039915,D
251.752885,-20.999539,9.040201,D
251.751327,-21.001351,9.039599,D
251.746624,-20.999774,9.040007,D
251.749311,-21.001337,9.039564,D
251.751486,-20.998899,9.040376,D
251.749578,-20.998618,9.040429,D
251.748170,-21.001019,9.039643,D
251.753247,-21.000196,9.040000,D
251.753229,-20.999801,9.040125,D
251.749668,-21.001268,9.039593,D
251.753346,-21.000317,9.039964,D
251.748309,-21.000994,9.039653,D
251.748147,-20.998789,9.040347,D
251.749198,-20.998685,9.040400,D
251.747761,-21.000911,9.039669,D
251.753258,-21.000282,9.039973,D
251.748784,-20.998685,9.040392,D
251.749968,-21.001322,9.039582,D
251.752441,-20.999167,9.040310,D
251.753258,-20.999808,9.040123,D
251.752410,-20.999323,9.040260,D
251.753048,-21.000574,9.039877,D
251.747246,-20.999159,9.040213,D
251.747794,-20.998838,9.040325,D
251.753365,-21.000098,9.040034,D
251.748551,-20.998706,9.040381,D
251.751874,-20.999050,9.040336,D
251.751485,-21.001294,9.039620,D
251.753318,-21.000128,9.040023,D
251.748876,-20.998688,9.040393,D
251.753323,-21.000133,9.040022,D
251.748661,-21.001163,9.039607,D
251.747195,-20.999204,9.040198,D
251.750287,-21.001381,9.039569,D
251.752913,-21.000728,9.039826,D
251.752880,-21.000851,9.039787,D
251.746667,-20.999600,9.040062,D
251.746898,-20.999356,9.040144,D
251.748566,-21.001210,9.039590,D
251.753267,-21.000492,9.039907,D
251.749295,-20.998627,9.040420,D
251.749195,-21.001272,9.039583,D
251.747999,-21.000964,9.039657,D
251.748046,-21.000981,9.039652,D
251.752377,-21.001074,9.039706,D
251.749487,-20.998621,9.040426,D
251.750036,-21.001358,9.039572,D
251.746778,-21.000241,9.039862,D
251.747846,-20.998854,9.040321,D
251.750371,-21.001406,9.039563,D
251.749064,-21.001224,9.039595,D
251.748793,-20.998660,9.040400,D
251.747409,-21.000691,9.039732,D
251.752546,-20.999230,9.040292,D
251.747170,-21.000527,9.039779,D
251.751786,-21.001144,9.039673,D
251.749431,-20.998658,9.040413,D
251.752974,-21.000713,9.039832,D
251.747920,-20.998796,9.040341,D
251.747586,-20.999032,9.040260,D
251.748858,-20.998743,9.040375,D
251.748276,-21.001062,9.039631,D
251.747891,-20.998965,9.040287,D
251.752205,-21.001157,9.039677,D
251.750198,-20.998603,9.040445,D
251.753129,-21.000490,9.039905,D
251.748642,-20.998710,9.040382,D
251.749817,-20.998605,9.040437,D
251.747497,-21.000688,9.039734,D
251.751187,-21.001293,9.039614,D
251.746795,-21.000226,9.039867,D
251.751888,-20.998946,9.040370,D
251.746698,-20.999781,9.040006,D
251.753168,-21.000073,9.040038,D
251.749417,-20.998593,9.040433,D
251.746684,-20.999687,9.040035,D
251.748064,-21.000958,9.039660,D
251.750073,-21.001412,9.039555,D
251.750884,-21.001406,9.039573,D
251.749307,-21.001266,9.039587,D
251.753372,-21.000211,9.039998,D
251.746966,-20.999468,9.040110,D
251.753232,-21.000309,9.039965,D
251.749946,-20.998676,9.040417,D
251.747953,-20.998931,9.040298,D
251.747154,-20.999285,9.040171,D
251.753337,-21.000285,9.039974,D
251.746802,-20.999669,9.040043,D
251.747527,-20.998999,9.040269,D
251.749940,-20.998596,9.040442,D
251.752847,-21.000877,9.039778,D
251.750528,-20.998646,9.040438,D
251.752737,-20.999307,9.040272,D
251.753075,-21.000246,9.039981,D
251.752539,-20.999287,9.040274,D
251.746928,-21.000164,9.039889,D
251.753127,-21.000328,9.039957,D
251.749659,-20.998653,9.040419,D
251.749040,-21.001252,9.039586,D
251.753298,-21.000201,9.040000,D
251.752861,-21.000760,9.039815,D
251.753180,-20.999736,9.040145,D
251.749921,-20.998630,9.040431,D
251.747467,-21.000683,9.039735,D
251.751333,-20.998816,9.040400,D
251.753188,-21.000301,9.039966,D
251.750968,-20.998765,9.040409,D
251.752354,-21.001057,9.039711,D
251.747561,-20.998947,9.040286,D
251.746732,-20.999947,9.039954,D
251.751457,-20.998839,9.040395,D
251.747126,-20.999158,9.040211,D
251.750180,-21.001403,9.039560,D
251.747838,-21.000959,9.039656,D
251.747267,-20.999079,9.040238,D
251.749854,-20.998607,9.040437,D
251.749301,-21.001336,9.039564,D
251.747145,-20.999106,9.040228,D
251.753311,-21.000286,9.039973,D
251.747588,-20.998911,9.040298,D
251.752677,-20.999377,9.040248,D
251.750652,-21.001323,9.039594,D
251.746944,-21.000415,9.039810,D
251.751014,-21.001395,9.039579,D
251.750453,-20.998672,9.040428,D
251.748228,-21.001041,9.039637,D
251.751656,-21.001312,9.039617,D
251.746681,-20.999577,9.040070,D
251.747043,-21.000510,9.039782,D
251.753358,-21.000222,9.039994,D
251.748928,-21.001239,9.039588,D
251.748276,-20.998701,9.040377,D
251.750853,-20.998759,9.040408,D
251.746751,-21.000200,9.039874,D
251.748339,-21.001109,9.039618,D
251.753038,-21.000496,9.039902,D
251.753024,-21.000625,9.039861,D
251.746886,-20.999427,9.040121,D
251.752800,-20.999454,9.040226,D
251.747247,-21.000606,9.039756,D
251.753318,-21.000316,9.039964,D
251.750290,-21.001373,9.039572,D
251.752873,-21.000846,9.039788,D
251.746724,-20.999692,9.040034,D
251.746881,-21.000073,9.039917,D
251.748798,-21.001242,9.039584,D
251.750517,-20.998684,9.040426,D
251.749424,-20.998656,9.040414,D
251.748538,-20.998683,9.040388,D
251.749924,-21.001375,9.039564,D
251.751157,-21.001280,9.039618,D
251.752611,-21.001020,9.039728,D
251.752636,-20.999324,9.040264,D
251.748341,-21.001114,9.039616,D
251.746864,-21.000373,9.039822,D
251.747831,-21.000917,9.039669,D
251.749838,-20.998585,9.040444,D
251.751458,-21.001205,9.039647,D
251.751645,-21.001262,9.039633,D
251.746749,-20.999569,9.040074,D
251.751057,-20.998769,9.040409,D
251.750830,-20.998676,9.040434,D
251.749734,-20.998638,9.040425,D
251.753233,-21.000477,9.039911,D
251.752852,-21.000870,9.039780,D
251.747398,-20.999016,9.040261,D
251.753261,-21.000434,9.039925,D
251.747993,-21.000947,9.039662,D
251.746962,-20.999369,9.040141,D
251.753273,-20.999864,9.040106,D
251.746929,-21.000362,9.039827,D
251.748940,-20.998628,9.040413,D
251.748155,-21.001034,9.039638,D
251.751077,-21.001335,9.039599,D
251.749166,-21.001322,9.039566,D
251.748670,-20.998671,9.040394,D
251.749604,-20.998638,9.040423,D
251.746861,-21.000278,9.039852,D
251.753304,-21.000221,9.039994,D
251.751577,-20.998833,9.040399,D
251.750051,-21.001397,9.039560,D
251.749329,-20.998644,9.040415,D
251.753114,-21.000145,9.040014,D
251.747097,-21.000563,9.039766,D
251.750612,-20.998663,9.040434,D
251.752588,-20.999249,9.040287,D
251.747099,-21.000423,9.039811,D
251.752146,-21.001156,9.039676,D
251.748640,-21.001122,9.039619,D
251.750047,-21.001388,9.039562,D
251.747864,-21.000971,9.039652,D
251.749229,-21.001298,9.039575,D
251.752798,-20.999442,9.040230,D
251.751432,-20.998888,9.040379,D
251.753253,-20.999883,9.040099,D
251.751664,-20.998966,9.040359,D
251.752118,-21.001172,9.039670,D
251.751184,-20.998784,9.040407,D
251.747981,-20.998838,9.040328,D
251.749614,-21.001363,9.039562,D
251.752628,-20.999373,9.040249,D
251.747243,-20.999182,9.040205,D
251.753325,-21.000095,9.040034,D
251.750442,-20.998704,9.040418,D
251.747165,-21.000627,9.039747,D
251.747845,-20.998843,9.040324,D
251.749796,-21.001302,9.039585,D
251.750818,-21.001364,9.039585,D
251.753343,-21.000153,9.040016,D
251.747040,-20.999223,9.040189,D
251.747863,-20.998860,9.040319,D
251.753069,-21.000433,9.039922,D
251.746805,-20.999627,9.040056,D
251.752063,-20.999045,9.040342,D
251.753318,-21.000015,9.040059,D
251.751104,-20.998810,9.040397,D
251.747509,-20.999074,9.040245,D
251.753267,-20.999917,9.040089,D
251.751399,-21.001283,9.039621,D
251.752277,-21.001147,9.039681,D
251.750459,-20.998652,9.040435,D
251.748840,-20.998746,9.040374,D
251.750774,-21.001405,9.039571,D
251.751845,-21.001223,9.039649,D
251.748831,-21.001196,9.039600,D
251.747063,-20.999453,9.040117,D
251.748290,-21.001023,9.039644,D
251.753066,-21.000254,9.039979,D
251.753324,-21.000060,9.040045,D
251.747982,-21.000995,9.039647,D
251.751136,-21.001357,9.039593,D
251.751575,-21.001252,9.039635,D
251.752340,-21.001005,9.039727,D
251.747807,-20.998863,9.040317,D
251.746949,-20.999349,9.040147,D
251.746761,-20.999510,9.040092,D
251.753351,-21.000310,9.039966,D
251.753158,-20.999725,9.040148,D
251.748220,-20.998726,9.040368,D
251.747004,-20.999336,9.040152,D
251.746624,-20.999750,9.040014,D
251.753122,-20.999667,9.040165,D
251.747767,-21.000933,9.039662,D
251.746648,-21.000007,9.039933,D
251.750661,-21.001325,9.039594,D
251.751586,-20.998896,9.040379,D
251.750466,-21.001349,9.039583,D
251.752523,-20.999388,9.040242,D
251.746828,-21.000051,9.039923,D
251.746841,-21.000121,9.039901,D
251.752966,-20.999466,9.040226,D
251.746801,-20.999896,9.039971,D
251.751639,-21.001280,9.039627,D
251.748975,-20.998616,9.040418,D
251.746705,-20.999678,9.040038,D
251.749697,-21.001368,9.039562,D
251.750321,-20.998651,9.040432,D
251.749240,-21.001298,9.039575,D
251.746627,-20.999760,9.040011,D
251.748829,-21.001213,9.039594,D
251.748606,-21.001100,9.039626,D
251.746836,-20.999922,9.039964,D
251.752378,-21.000953,9.039745,D
251.746734,-20.999478,9.040102,D
251.748944,-21.001253,9.039584,D
251.751496,-21.001305,9.039616,D
251.752441,-20.999201,9.040300,D
251.750434,-20.998699,9.040420,D
251.747277,-21.000522,9.039783,D
251.752581,-21.001024,9.039726,D
251.753010,-21.000668,9.039847,D
251.749075,-21.001293,9.039574,D
251.752018,-21.001197,9.039661,D
251.751579,-20.998895,9.040379,D
251.747099,-21.000554,9.039769,D
251.752181,-21.001116,9.039689,D
251.751327,-21.001359,9.039596,D
251.753153,-21.000549,9.039887,D
251.750567,-21.001405,9.039567,D
251.750641,-21.001306,9.039600,D
251.748859,-20.998740,9.040376,D
251.746711,-20.999677,9.040039,D
251.748973,-20.998666,9.040402,D
251.748047,-20.998811,9.040338,D
251.753334,-21.000143,9.040019,D
251.748630,-20.998698,9.040385,D
251.752004,-21.001116,9.039686,D
251.752119,-21.001178,9.039669,D
251.746882,-20.999598,9.040067,D
251.746944,-21.000299,9.039847,D
251.747169,-20.999274,9.040175,D
251.751759,-21.001253,9.039638,D
251.746754,-20.999957,9.039951,D
251.748524,-21.001155,9.039607,D
251.752919,-21.000709,9.039832,D
251.746775,-21.000176,9.039882,D
251.748644,-21.001127,9.039618,D
251.747079,-21.000380,9.039824,D
251.748589,-21.001214,9.039589,D
251.753028,-21.000594,9.039871,D
251.748545,-21.001181,9.039599,D
251.752779,-21.000716,9.039827,D
251.748711,-20.998663,9.040398,D
251.750702,-21.001401,9.039571,D
251.752713,-21.000873,9.039776,D
251.752160,-20.999073,9.040334,D
251.752387,-20.999180,9.040305,D
251.748333,-20.998754,9.040362,D
251.753158,-21.000471,9.039912,D
251.747692,-21.000791,9.039706,D
251.747157,-21.000601,9.039755,D
251.748520,-20.998691,9.040385,D
251.751320,-20.998884,9.040378,D
251.750289,-21.001366,9.039574,D
251.753164,-21.000206,9.039996,D
251.752423,-21.001082,9.039705,D
251.750608,-20.998732,9.040412,D
251.748762,-21.001218,9.039591,D
251.746728,-20.999520,9.040089,D
251.752764,-21.000936,9.039757,D
251.747024,-21.000516,9.039780,D
251.751646,-20.998849,9.040395,D
251.750849,-20.998700,9.040427,D
251.747414,-21.000743,9.039715,D
251.748954,-20.998613,9.040418,D
251.748828,-20.998627,9.040411,D
251.749204,-20.998698,9.040396,D
251.752413,-20.999312,9.040264,D
251.747181,-20.999329,9.040158,D
251.749300,-20.998613,9.040425,D
251.747043,-21.000363,9.039828,D
251.748741,-21.001200,9.039597,D
251.753161,-20.999716,9.040151,D
251.753176,-20.999937,9.040081,D
251.748213,-20.998728,9.040368,D
251.750234,-21.001387,9.039566,D
251.747450,-20.998988,9.040271,D
251.753130,-21.000649,9.039855,D
251.746924,-21.000182,9.039883,D
251.753075,-20.999593,9.040188,D
251.746769,-20.999706,9.040031,D
251.750077,-20.998632,9.040434,D
251.752149,-20.999090,9.040329,D
251.751468,-20.998869,9.040386,D
251.747007,-21.000386,9.039820,D
251.752080,-21.001039,9.039712,D
251.747116,-21.000594,9.039757,D
251.747882,-21.000842,9.039693,D
251.749457,-20.998671,9.040409,D
251.747855,-20.998853,9.040321,D
251.753151,-20.999944,9.040078,D
251.747292,-20.999053,9.040247,D
251.749874,-21.001364,9.039567,D
251.750661,-20.998670,9.040433,D
251.747596,-20.998974,9.040278,D
251.749801,-21.001379,9.039560,D
251.747784,-20.998887,9.040309,D
251.747268,-20.999214,9.040196,D
251.750577,-21.001373,9.039577,D
251.748710,-21.001231,9.039586,D
251.749250,-21.001330,9.039565,D
251.748148,-20.998774,9.040352,D
251.750248,-20.998640,9.040435,D
251.750553,-20.998767,9.040400,D
251.752373,-20.999141,9.040317,D
251.746745,-20.999995,9.039939,D
251.747769,-20.998869,9.040315,D
251.750479,-21.001410,9.039564,D
251.750906,-20.998704,9.040427,D
251.746826,-21.000021,9.039932,D
251.750771,-21.001388,9.039576,D
251.749558,-20.998578,9.040441,D
251.751774,-21.001285,9.039628,D
251.749888,-20.998618,9.040434,D
251.747990,-21.000903,9.039676,D
251.747060,-20.999232,9.040186,D
251.752967,-20.999607,9.040181,D
251.748946,-21.001190,9.039604,D
251.751997,-21.001177,9.039666,D
251.750464,-20.998672,9.040429,D
251.752435,-20.999159,9.040313,D
251.753267,-21.000360,9.039949,D
251.751699,-21.001246,9.039639,D
251.750694,-20.998664,9.040435,D
251.751205,-20.998824,9.040395,D
251.752817,-20.999533,9.040202,D
251.748392,-21.001090,9.039625,D
251.749162,-20.998650,9.040411,D
251.751716,-21.001294,9.039624,D
251.749364,-21.001248,9.039594,D
251.752492,-20.999205,9.040299,D
251.746840,-20.999784,9.040008,D
251.750634,-20.998670,9.040432,D
251.751197,-21.001310,9.039609,D
251.752927,-20.999711,9.040148,D
251.750381,-21.001297,9.039598,D
251.751220,-21.001340,9.039600,D
251.747489,-21.000792,9.039702,D
251.749978,-21.001389,9.039561,D
251.748573,-20.998776,9.040359,D
251.753082,-21.000007,9.040057,D
251.750510,-20.998658,9.040434,D
251.748012,-21.000961,9.039658,D
251.753160,-21.000395,9.039936,D
251.746843,-20.999761,9.040015,D
251.753082,-20.999803,9.040121,D
251.753237,-20.999864,9.040105,D
251.750811,-21.001360,9.039586,D
251.751915,-20.999081,9.040327,D
251.747135,-20.999186,9.040202,D
251.748926,-20.998699,9.040391,D
251.748876,-20.998695,9.040391,D
251.752799,-21.000805,9.039800,D
251.748151,-21.001077,9.039624,D
251.752012,-21.001191,9.039662,D
251.751645,-21.001207,9.039650,D
251.748395,-20.998700,9.040380,D
251.750880,-21.001391,9.039577,D
251.748361,-21.001148,9.039606,D
251.752781,-21.000708,9.039830,D
251.753231,-21.000250,9.039983,D
251.749971,-21.001333,9.039578,D
251.752312,-20.999130,9.040319,D
251.746628,-20.999756,9.040012,D
251.746788,-20.999536,9.040085,D
251.750997,-20.998750,9.040414,D
251.753337,-20.999968,9.040074,D
251.748924,-20.998713,9.040386,D
251.747560,-20.998921,9.040294,D
251.747574,-20.998920,9.040295,D
251.746805,-20.999936,9.039959,D
251.753195,-20.999698,9.040157,D
251.750120,-20.998666,9.040424,D
251.752574,-21.000963,9.039745,D
251.747547,-21.000769,9.039710,D
251.751617,-20.998885,9.040384,D
251.749624,-20.998584,9.040440,D
251.746924,-21.000432,9.039804,D
251.749174,-20.998661,9.040407,D
251.748904,-20.998653,9.040405,D
251.752562,-21.001013,9.039729,D
251.746691,-20.999853,9.039983,D
251.752951,-20.999482,9.040220,D
251.753078,-21.000687,9.039842,D
251.749723,-21.001372,9.039561,D
251.752698,-20.999327,9.040265,D
251.748370,-20.998699,9.040380,D
251.748880,-21.001225,9.039592,D
251.752488,-20.999192,9.040303,D
251.752452,-21.000960,9.039744,D
251.747381,-20.999012,9.040262,D
251.748646,-20.998670,9.040394,D
251.747660,-20.999014,9.040266,D
251.753350,-21.000041,9.040051,D
251.750828,-21.001389,9.039577,D
251.752940,-20.999525,9.040207,D
251.749347,-20.998602,9.040429,D
251.751369,-21.001294,9.039617,D
251.746751,-20.999572,9.040073,D
251.752531,-20.999218,9.040296,D
251.749682,-20.998607,9.040434,D
251.750054,-21.001318,9.039585,D
251.748547,-21.001191,9.039596,D
251.747813,-21.000960,9.039654,D
251.753348,-21.000348,9.039954,D
251.749698,-21.001318,9.039578,D
251.746809,-21.000035,9.039928,D
251.750649,-20.998684,9.040428,D
251.752090,-21.001138,9.039681,D
251.746839,-20.999738,9.040022,D
251.747182,-21.000642,9.039743,D
251.753254,-21.000149,9.040015,D
251.747740,-21.000831,9.039694,D
251.747208,-21.000610,9.039754,D
251.751965,-20.998958,9.040367,D
251.751166,-20.998818,9.040396,D
251.750303,-20.998615,9.040443,D
251.751624,-20.998948,9.040364,D
251.751400,-21.001278,9.039623,D
251.752783,-21.000890,9.039772,D
251.753164,-20.999727,9.040147,D
251.747816,-20.998880,9.040312,D
251.746809,-21.000296,9.039845,D
251.746650,-20.999775,9.040007,D
251.749820,-21.001284,9.039591,D
251.752604,-20.999245,9.040289,D
251.753222,-20.999744,9.040143,D
251.751091,-20.998739,9.040419,D
251.746690,-20.999654,9.040046,D
251.746818,-21.000097,9.039908,D
251.751697,-21.001183,9.039659,D
251.746840,-20.999449,9.040113,D
251.752764,-21.000919,9.039763,D
251.747646,-20.998873,9.040311,D
251.751084,-21.001388,9.039582,D
251.752627,-20.999242,9.040290,D
251.750148,-20.998605,9.040444,D
251.752046,-20.999064,9.040335,D
251.749185,-20.998712,9.040391,D
251.747057,-21.000342,9.039835,D
251.748960,-21.001256,9.039583,D
251.750637,-20.998697,9.040424,D
251.747177,-20.999092,9.040233,D
251.752471,-21.000989,9.039735,D
251.751503,-21.001260,9.039631,D
251.753183,-21.000628,9.039863,D
251.752237,-20.999171,9.040305,D
251.747376,-21.000598,9.039761,D
251.752760,-21.000863,9.039780,D
251.748923,-21.001236,9.039589,D
251.747079,-21.000279,9.039856,D
251.753027,-20.999757,9.040135,D
251.751904,-21.001133,9.039679,D
251.752893,-20.999410,9.040242,D
251.751074,-21.001382,9.039584,D
251.747307,-20.999111,9.040229,D
251.753033,-20.999681,9.040159,D
251.751710,-20.998917,9.040375,D
251.750215,-21.001385,9.039567,D
251.752738,-21.000812,9.039796,D
251.752928,-20.999487,9.040218,D
251.746663,-20.999846,9.039985,D
251.746904,-20.999312,9.040158,D
251.753115,-21.000588,9.039874,D
251.747299,-20.999113,9.040228,D
251.747785,-20.998897,9.040306,D
